video id,id,annoy_before,annoy_after
1,8E0SoagJCx4,1,0
2,30bMO1U8580,0,1
3,pjiKmv2TgTM,1,0
4,il9WYsyMisg,1,0
Regression1,nyHusALR4Kc,1,0
Regression2,jmB_wK6iLCs,1,0
Regression3,#NAME?,1,0
ANOVA,#NAME?,1,0
5,Rhs_aNKRmZ4,0,1
6,0omoFlviuzo,0,1
6a,zQPz8_cGEoc,0,1
7,UyorBbMSu1k,0,1
8,nOqfVkZjqGs,1,0
9,i8xC8ZNO_nc,0,1
9a,gIIvHxSOBkY,1,0
10,E589Nu0fle4,0,1
11,6-dTUnrwGcQ,0,1
11a,9R2tT1KNgh8,0,1
12,cp2WU87Km0,1,0
13,9KFfwffvD5I,0,1
14,E0mTSTJrTp8,1,0
15a,D0zQsnXr-30,1,0
16,BmnmTiJhrqc,1,0
16a,lYPHNXRd220,1,0
17,zFHRSB6xxBw,0,1
17a,GbBQ3i1K2DE,0,1
18,rTtFEMWuA3s,0,1
19,8SkqltGoWqw,1,0
20,NiKfdUGkSmY,0,1
21,_POik0fJpsY,1,0
22,XaMATsrqt9U,0,1
23,G7KnsA0ZF7w,1,0
24a,87YkZWH66xk,0,1
24b,fw_8V_cIlnk,1,0
25,pbDFNi6qfQ8,1,0
IntroToIntro,VrdkfhktOh0,1,0
26,y8P4W4H2dp0,1,0
27,H_O5moCDqCA,0,1
41,K523s8iQA2M,1,0
28,9CSoQQzDx5c,0,1
29,_Txn4-wZXqg,0,1
29a,kxjEt4DvS-M,1,0
29b,UZMf-LOWr5E,1,0
30,r9siKz5YWHs,0,1
31,fm4EQjv1Si8,1,0
32,uRn7KjDarmM,0,1
33,VBwlyTN6vlw,1,0
34,W8hMts-RatM,0,1
35,OEyeAwfd7Pg,0,1
35a,PQTN3MXTRPw,1,0
36,tZhFay2Tuhs,0,1
Sunk,k8TT7-f8fXs,1,0
UsefulTrick,TBCAHbhhvTg,1,0
37,fAbwlxb9ffE,0,1
38,Q4FxNAacEB4,1,0
39,zYfdNxB584A,1,0
40,X0_RoPXI4UA,1,0
42,z5nq45zg9Wc,1,0
43,uFooIEoBPq0,0,1
44,RIugTo0ivWI,1,0
45,q_7g18f_6w4,1,0
6b,f1v2HR6WMeU,1,0
6c,4aN1jYj3Dvw,1,0
9b,3EYvdW_JBIs,0,1
whatisintro,o25N3GOghHU,1,1
e11,s_AX7gQP3Oc,1,0
e12,b4A72yvFg7k,0,1
e13,WI58rUFjorU,1,0
e14,ExOInocQfN8,1,0
e15,D37roKV5fuQ,1,0
9c,CcOjvTx7veg,0,1
e16,V__Q_QzRze0,0,1
e17,fs2HffFvYoQ,0,1
e18,aWQTqLlNj0g,1,0
e19,fTpTKRpMcFk,0,1
e110,tFF2HXHNwcY,0,1
1b,fhzUlEjRaLk,0,1
e111,T8G0fmMmK2w,0,1
r1,RLsmWORCvWY,0,1
r2,#NAME?,1,0
r3,IcYh-7ZhPuU,0,1
r4,8vBtsAgj2eA,0,1
r5,DYvFapXJoZY,1,0
r6,pwZFqdTPcB4,0,1
r7,zA2Q8wYwDFg,0,1
r9,hSf52fHd9hQ,1,0
r10,cv2TSOHPp1o,0,1
r11,2GBHy-Q94QY,1,0
r8,cQ7E0DFKuNM,0,1
r9.2,JP8JoO-Vxx4,0,1
r12,hFoDDwTF4KY,0,1
r13,J-F54ESEmLA,0,1
e21,QgI4-K91V4g,0,1
r14,r3Oy14DXFqk,0,1
NegExt,tZdl3px-sFs,0,1
r15,E4uR5I1uLFM,0,1
7b,aDeI5meKDjk,0,1
5b,8qqxtp2uoxE,0,1
7c,_dd17N5gLu0,0,1
7d,KAWtH4QH35I,0,1
